Day,Sample,Colonies,CFU_g,Temperature,pH,Turbidity
1,AIML,16,27415,29.61,7.6,7.19
1,Biotech,34,69784,24.67,6.71,7.56
2,AIML,14,39873,28.66,6.82,4.27
2,Biotech,32,76455,22.18,7.29,5.8
3,AIML,16,29803,29.87,7.2,9.02
3,Biotech,37,76532,27.47,7.16,3.85
4,AIML,11,25760,29.27,6.89,7.64
4,Biotech,39,67732,22.25,7.76,6.15
5,AIML,16,34403,26.78,7.88,3.62
5,Biotech,39,73636,27.98,7.31,7.11
6,AIML,10,31621,26.34,6.71,8.62
6,Biotech,37,70593,24.35,6.52,4.39
7,AIML,18,29135,28.17,6.61,5.51
7,Biotech,36,72393,27.35,7.5,7.14
8,AIML,11,28196,25.78,6.68,7.99
8,Biotech,33,74339,22.32,7.57,3.78
9,AIML,14,29353,27.09,6.97,6.56
9,Biotech,36,66083,23.83,6.62,5.03
10,AIML,14,34289,26.99,6.94,3.74
10,Biotech,40,81366,29.17,6.98,3.77
11,AIML,16,17725,22.0,7.03,5.13
11,Biotech,36,73632,22.96,7.01,9.6
12,AIML,19,22773,26.46,7.11,3.45
12,Biotech,36,71614,22.3,7.41,6.52
13,AIML,14,32605,24.76,7.45,7.76
13,Biotech,36,74185,27.38,7.64,4.66
14,AIML,11,33240,27.06,7.45,6.75
14,Biotech,41,71679,28.87,6.99,4.54
15,AIML,11,34205,23.81,7.47,4.22
15,Biotech,42,65146,27.41,7.6,4.46
16,AIML,11,31358,27.28,7.73,6.89
16,Biotech,35,78217,29.2,7.45,5.37
17,AIML,12,31942,28.77,7.78,5.83
17,Biotech,40,77152,29.19,7.41,3.06
18,AIML,17,33669,22.04,6.74,6.84
18,Biotech,39,72849,22.14,7.24,4.25
19,AIML,14,29278,28.79,7.49,6.98
19,Biotech,34,82995,29.83,7.23,9.34
20,AIML,13,41479,27.16,7.5,9.05
20,Biotech,37,78565,29.96,7.2,4.96
21,AIML,15,33184,22.12,7.89,6.0
21,Biotech,34,74820,24.45,6.79,4.88
22,AIML,18,27212,26.45,7.9,7.87
22,Biotech,41,82721,24.36,6.98,8.94
23,AIML,14,38803,24.88,6.94,8.67
23,Biotech,39,66151,22.04,7.44,4.36
24,AIML,13,37607,28.37,7.84,5.37
24,Biotech,41,70891,25.72,7.31,5.01
25,AIML,17,44455,24.0,6.56,5.12
25,Biotech,36,78547,26.98,6.63,3.36
26,AIML,13,26145,27.6,6.71,3.93
26,Biotech,39,81791,24.17,7.16,3.55
27,AIML,11,30737,22.65,7.14,7.82
27,Biotech,37,76076,26.39,7.57,7.62
28,AIML,19,36980,26.13,7.49,6.05
28,Biotech,33,72940,22.96,7.01,3.64
29,AIML,21,21111,29.84,6.76,3.12
29,Biotech,37,72339,25.47,7.1,7.31
30,AIML,14,47916,24.09,6.52,9.53
30,Biotech,38,85151,29.55,7.92,9.07
31,AIML,15,38586,25.11,7.46,6.21
31,Biotech,37,90768,27.21,6.81,4.92
32,AIML,20,28799,26.95,7.0,7.59
32,Biotech,41,85365,25.97,7.54,5.44
33,AIML,22,49282,28.43,6.92,4.24
33,Biotech,42,91389,23.02,6.88,7.06
34,AIML,22,38417,28.87,7.14,8.26
34,Biotech,38,75961,25.97,7.08,5.08
35,AIML,19,34599,22.09,7.86,3.64
35,Biotech,44,84178,25.94,6.62,3.64
36,AIML,19,36139,23.7,7.92,8.47
36,Biotech,34,73907,26.4,7.16,9.21
37,AIML,20,42734,27.5,7.76,9.07
37,Biotech,38,77009,28.57,7.56,3.57
38,AIML,12,32444,26.65,7.79,9.16
38,Biotech,43,86690,28.22,7.34,5.97
39,AIML,22,41071,25.48,6.88,5.84
39,Biotech,46,92327,27.95,7.52,4.66
40,AIML,18,26520,24.29,7.8,4.57
40,Biotech,36,83012,29.4,7.88,4.77
41,AIML,16,48288,26.18,7.44,7.87
41,Biotech,46,97108,22.36,6.92,9.65
42,AIML,16,25819,22.85,7.0,4.19
42,Biotech,42,81167,22.62,7.96,9.9
43,AIML,14,37811,24.24,7.12,7.22
43,Biotech,42,92968,29.46,7.8,3.32
44,AIML,18,36374,28.22,7.22,9.9
44,Biotech,39,98020,26.55,6.6,3.26
45,AIML,16,33017,22.6,7.54,6.74
45,Biotech,47,91280,29.56,7.77,4.73
46,AIML,12,20384,29.63,7.41,4.6
46,Biotech,48,88485,24.46,7.72,9.78
47,AIML,16,41577,25.84,7.13,8.49
47,Biotech,39,89002,27.09,7.33,3.64
48,AIML,20,47683,26.11,7.68,5.78
48,Biotech,43,91934,25.67,7.76,8.38
49,AIML,16,30753,29.84,7.24,5.3
49,Biotech,42,98216,25.2,7.55,4.26
50,AIML,15,33545,29.17,7.21,7.67
50,Biotech,46,94711,24.76,7.02,3.22
51,AIML,22,36317,25.69,6.81,5.55
51,Biotech,41,93955,27.02,6.62,9.12
52,AIML,21,51179,28.45,7.62,4.29
52,Biotech,45,84455,25.7,7.62,3.26
53,AIML,14,44963,27.5,7.77,8.25
53,Biotech,45,71690,24.15,7.07,3.14
54,AIML,20,32211,22.71,7.3,4.63
54,Biotech,47,89471,25.84,7.38,8.16
55,AIML,18,47286,26.52,7.07,5.36
55,Biotech,43,98539,29.89,7.41,4.66
56,AIML,21,25385,24.92,7.23,8.96
56,Biotech,46,99997,22.9,7.1,9.79
57,AIML,20,39398,29.8,7.24,8.06
